"Percentile","men_treatment","women_treatment","combined"
0,0,0,0
0.1,124.1550790918,85.1242005548047,89.4453605719299
0.2,222.094679960977,144.448450527335,179.801426952959
0.3,318.074513578375,237.056398374791,247.04213033587
0.4,411.325763589102,344.816610074566,322.354731444343
0.5,527.833872200684,415.015117837274,403.264388703006
0.6,636.462287051349,430.430477042586,506.625966256354
0.7,709.864495507923,457.869968278586,587.476352966767
0.8,776.556504328759,480.410256280893,649.633345128465
0.9,869.657698596973,540.50246747352,689.777991430296
1,980.577295054321,579.220943089973,779.290400741823
